customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,MonthlyCharges,TotalCharges
4190-MFLUW,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,10,55.2,528.35
4183-MYFRB,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,2,0,21,90.05,1862.9
8779-QRDMV,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,1,39.65,39.65
1680-VDCWW,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,12,19.8,202.25
1066-JKSGK,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,1,1,20.15,20.15
3638-WEABW,0,0,1,0,1,1,0,0,1,0,1,0,0,2,1,1,0,58,59.9,3505.1
6322-HRPFA,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,49,59.6,2970.3
6865-JZNKO,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,30,55.3,1530.6
6467-CHFZW,1,0,1,1,1,1,1,0,1,0,0,1,2,0,1,2,1,47,99.35,4749.15
8665-UTDHZ,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,30.2,30.2
5248-YGIJN,1,0,1,0,1,1,0,1,1,1,1,1,2,2,1,1,0,72,90.25,6369.45
8773-HHUOZ,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,3,1,17,64.7,1093.1
3841-NFECX,0,1,1,0,1,1,1,1,1,1,1,0,0,2,1,1,0,71,96.35,6766.95
4929-XIHVW,1,1,1,0,1,0,1,0,0,1,0,1,2,0,1,1,0,2,95.5,181.65
6827-IEAUQ,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,3,0,27,66.15,1874.45
7310-EGVHZ,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,20.2,20.2
3413-BMNZE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45.25,45.25
6234-RAAPL,0,0,1,1,1,1,1,1,1,0,1,1,0,2,0,0,0,72,99.9,7251.7
6047-YHPVI,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,5,69.7,316.9
6572-ADKRS,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,46,74.8,3548.3
5380-WJKOV,1,0,0,0,1,1,1,0,1,1,0,1,2,0,1,2,1,34,106.35,3549.25
8168-UQWWF,0,0,0,0,1,1,1,0,0,1,0,1,2,0,1,0,1,11,97.85,1105.4
8865-TNMNX,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,3,0,10,49.55,475.7
9489-DEDVP,0,0,1,1,1,1,0,1,1,0,0,1,0,2,1,1,0,70,69.2,4872.35
9867-JCZSP,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,3,0,17,20.75,418.25
4671-VJLCL,0,0,0,0,1,1,0,1,1,1,1,1,0,2,1,1,0,63,79.85,4861.45
4080-IIARD,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,2,0,13,76.2,981.45
3714-NTNFO,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,2,0,49,84.5,3906.7
5948-UJZLF,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,49.25,97.0
7760-OYPDY,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,1,2,80.65,144.15
7639-LIAYI,1,0,0,0,1,1,0,1,0,0,1,1,2,2,1,1,0,52,79.75,4217.8
2954-PIBKO,0,0,1,1,1,1,0,1,0,1,1,0,0,2,1,1,0,69,64.15,4254.1
8012-SOUDQ,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,2,0,43,90.25,3838.75
9420-LOJKX,0,0,0,0,1,0,1,1,1,0,0,1,2,0,1,1,1,15,99.1,1426.4
6575-SUVOI,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,25,69.5,1752.65
7495-OOKFY,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,8,80.65,633.3
4667-QONEA,0,1,1,1,1,0,0,1,1,1,1,0,2,1,1,1,0,60,74.85,4456.35
1658-BYGOY,1,1,0,0,1,1,1,0,0,0,0,1,2,0,1,2,1,18,95.45,1752.55
8769-KKTPH,0,0,1,1,1,1,1,1,0,0,0,1,2,1,1,1,0,63,99.65,6311.2
5067-XJQFU,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2,0,66,108.45,7076.35
3957-SQXML,0,0,1,1,1,1,2,0,0,0,0,0,1,2,0,1,0,34,24.95,894.3
5954-BDFSG,0,0,0,0,1,1,1,0,0,1,1,1,2,2,1,1,0,72,107.5,7853.7
0434-CSFON,0,0,1,0,1,1,1,0,0,1,0,1,2,0,1,2,0,47,100.5,4707.1
1215-FIGMP,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,60,89.9,5450.7
0526-SXDJP,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,72,42.1,2962.0
0557-ASKVU,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,18,54.4,957.1
5698-BQJOH,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,2,1,9,94.4,857.25
5122-CYFXA,0,0,0,0,1,0,0,0,1,0,1,1,2,0,1,2,0,3,75.3,244.1
8627-ZYGSZ,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,2,0,47,78.9,3650.35
3410-YOQBQ,0,0,0,0,1,0,0,0,1,1,1,1,2,2,0,3,0,31,79.2,2497.2
3170-NMYVV,0,0,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,50,20.15,930.9
7410-OIEDU,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,0,10,79.85,887.35
2273-QCKXA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,49.05,49.05
0731-EBJQB,0,0,1,1,1,0,2,0,0,0,0,0,1,1,1,2,0,52,20.4,1090.65
1891-QRQSA,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,0,0,64,111.6,7099.0
8028-PNXHQ,1,0,1,1,1,1,2,0,0,0,0,0,1,2,1,0,0,62,24.25,1424.6
5630-AHZIL,0,0,0,1,1,0,0,1,0,0,1,0,2,0,1,0,0,3,64.5,177.4
2673-CXQEU,0,1,0,0,1,1,1,1,1,1,0,1,2,1,0,2,0,56,110.5,6139.5
6416-JNVRK,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,46,55.65,2688.85
5590-ZSKRV,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,3,0,8,54.65,482.25
0191-ZHSKZ,1,1,0,0,1,0,0,1,1,0,0,1,2,0,1,2,0,30,74.75,2111.3
3887-PBQAO,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,0,45,25.9,1216.6
5919-TMRGD,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,2,1,1,79.35,79.35
8108-UXRQN,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,2,0,11,50.55,565.35
9191-MYQKX,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,7,75.15,496.9
9919-YLNNG,0,0,0,0,1,0,1,0,1,1,1,1,2,0,1,0,0,42,103.8,4327.5
0318-ZOPWS,0,0,1,0,1,0,2,0,0,0,0,0,1,2,1,0,0,49,20.15,973.35
4445-ZJNMU,1,0,0,0,1,1,1,0,1,0,0,1,2,0,1,1,0,9,99.3,918.75
4808-YNLEU,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,35,62.15,2215.45
1862-QRWPE,0,0,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,48,20.65,1057.0
2796-NNUFI,0,0,1,1,1,0,2,0,0,0,0,0,1,2,1,3,0,46,19.95,927.1
3016-KSVCP,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,29,33.75,1009.25
4767-HZZHQ,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,30,82.05,2570.2
2424-WVHPL,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,74.7,74.7
7233-PAHHL,1,0,1,1,1,1,0,1,0,1,1,1,2,2,1,3,0,66,84.0,5714.25
6067-NGCEU,0,0,0,0,1,1,1,1,1,1,0,1,2,0,1,1,0,65,111.05,7107.0
9848-JQJTX,1,0,0,0,1,1,1,0,1,1,0,1,2,2,1,0,0,72,100.9,7459.05
8637-XJIVR,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1,12,78.95,927.35
9803-FTJCG,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,71,66.85,4748.7
0278-YXOOG,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,1,5,21.05,113.85
3212-KXOCR,1,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,52,21.0,1107.2
4598-XLKNJ,0,1,1,0,1,0,1,0,1,1,0,1,2,0,1,2,1,25,98.5,2514.5
6380-ARCEH,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,1,20.2,20.2
3679-XASPY,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,1,19.45,19.45
7123-WQUHX,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,38,95.0,3605.6
5386-THSLQ,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,66,45.55,3027.25
3192-NQECA,1,0,1,0,1,1,1,0,1,1,1,1,2,2,1,0,1,68,110.0,7611.85
6180-YBIQI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,24.3,100.2
6728-DKUCO,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,2,0,72,104.15,7303.05
9750-BOOHV,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,32,30.15,927.65
8597-CWYHH,1,0,0,0,1,1,1,0,0,0,0,1,2,1,0,3,0,43,94.35,3921.3
2848-YXSMW,1,0,1,1,1,0,2,0,0,0,0,0,1,2,0,1,0,72,19.4,1363.25
0486-HECZI,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,2,1,55,96.75,5238.9
4549-ZDQYY,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,52,57.95,3042.25
5712-AHQNN,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,2,0,43,91.65,3954.1
4846-WHAFZ,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,2,1,37,76.5,2868.15
5256-SKJGO,0,0,1,1,0,0,0,0,1,0,1,1,2,2,1,2,0,64,54.6,3423.5
3071-VBYPO,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,2,0,3,89.85,248.4
9560-BBZXK,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,36,31.05,1126.35
5299-RULOA,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,2,1,10,100.25,1064.65
8402-OOOHJ,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,3,0,41,20.65,835.15
9445-ZUEQE,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,27,85.2,2151.6
1091-SOZGA,0,0,1,1,1,1,1,0,0,1,0,1,2,1,1,1,0,56,99.8,5515.45
2928-HLDBA,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,6,20.7,112.75
0404-SWRVG,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,3,74.4,229.55
6497-TILVL,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0,7,50.7,350.35
7219-TLZHO,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,3,0,4,20.85,62.9
4622-YNKIJ,1,0,0,0,1,0,1,1,0,0,1,1,0,2,1,2,0,33,88.95,3027.65
4412-YLTKF,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,2,1,27,78.05,2135.5
6734-PSBAW,1,0,1,0,1,1,2,0,0,0,0,0,1,2,1,0,0,72,23.55,1723.95
3930-ZGWVE,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,1,19.75,19.75
2639-UGMAZ,1,1,0,0,0,0,0,1,1,0,0,1,2,1,1,2,0,71,56.45,3985.35
2876-GZYZC,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,2,0,13,85.95,1215.65
6207-WIOLX,0,0,1,1,0,0,0,1,1,1,0,1,2,0,1,1,1,25,58.6,1502.65
8587-XYZSF,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,67,50.55,3260.1
3091-FYHKI,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,35.45,35.45
2372-HWUHI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,44.35,81.25
7799-LGRDP,0,0,0,0,1,1,2,0,0,0,0,0,1,2,1,1,0,43,25.7,1188.2
7850-VWJUU,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,23,75.0,1778.5
3774-VBNXY,0,0,1,1,1,0,2,0,0,0,0,0,1,2,0,3,0,64,20.2,1277.75
6217-KDYWC,1,0,0,1,1,0,2,0,0,0,0,0,1,2,1,3,0,57,19.6,1170.55
0390-DCFDQ,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,1,1,70.45,70.45
3146-MSEGF,0,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,0,72,88.05,6425.65
4080-OGPJL,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,2,1,8,71.15,563.65
1095-WGNGG,0,0,1,0,1,1,1,0,1,0,0,1,2,2,1,0,0,61,101.05,5971.25
2636-SJDOU,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,64,84.3,5289.05
1131-QQZEB,1,1,1,0,1,1,2,0,0,0,0,0,1,2,0,0,0,71,23.95,1756.2
5716-EZXZN,0,0,1,1,1,1,1,1,1,0,1,1,0,2,1,1,0,65,99.05,6416.7
6837-BJYDQ,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,3,0,3,19.6,61.35
2135-RXIHG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,45.65,45.65
6440-DKQGE,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,30,64.5,1929.95
3466-BYAVD,1,0,1,1,1,0,0,0,1,1,1,0,2,0,1,3,0,15,69.5,1071.4
3780-YVMFA,0,0,1,1,1,0,0,0,0,0,1,1,2,0,1,2,0,8,68.55,564.35
3874-EQOEP,1,0,0,0,1,1,1,0,0,0,0,1,2,0,0,3,1,7,95.0,655.5
1679-JRFBR,0,0,1,1,1,1,1,1,1,1,0,1,2,1,1,1,0,70,108.15,7930.55
9073-ZZIAY,1,0,1,1,1,0,0,1,1,1,1,1,2,2,0,2,0,62,86.1,5215.25
3077-RSNTJ,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,3,0,6,19.7,113.5
6551-GNYDG,0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,14,80.9,1152.8
9167-APMXZ,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,22,84.15,1821.95
2749-CTKAJ,1,0,1,1,1,0,2,0,0,0,0,0,1,1,0,3,0,22,20.15,419.9
6371-NZYEG,1,0,1,1,1,0,0,1,0,1,0,1,0,2,0,3,0,16,64.25,1024.0
7554-NEWDD,1,0,0,0,1,1,2,0,0,0,0,0,1,2,0,0,0,10,25.7,251.6
8992-VONJD,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,2,0,13,56.0,764.55
0867-MKZVY,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,1,20,82.4,1592.35
4482-EWFMI,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,2,69.7,135.2
4648-YPBTM,1,0,0,0,1,1,0,0,1,1,1,0,2,2,1,0,0,53,73.9,3958.25
2907-ILJBN,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,3,0,11,20.6,233.9
6345-FZOQH,1,0,1,0,1,0,2,0,0,0,0,0,1,2,0,3,0,69,19.9,1363.45
3376-BMGFE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,4,70.9,273.0
5997-OPVFA,1,0,1,0,1,1,0,1,1,1,1,1,2,2,1,0,0,72,89.05,6254.45
3445-HXXGF,1,1,1,0,0,0,0,0,1,1,0,0,2,0,1,2,1,58,45.3,2651.2
1159-WFSGR,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,2,0,16,20.4,321.4
7654-YWJUF,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,43,84.25,3539.25
1875-QIVME,0,0,1,0,1,1,1,0,0,1,1,1,2,0,1,2,1,2,104.4,242.8
6727-IOTLZ,1,0,1,0,1,0,0,0,1,1,1,1,2,2,0,3,0,14,81.95,1181.75
0691-JVSYA,0,0,1,0,1,0,1,0,0,1,0,1,2,1,1,0,1,53,94.85,5000.2
5918-VUKWP,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,32,20.55,654.55
1744-JHKYS,0,0,1,0,1,1,2,0,0,0,0,0,1,0,0,2,0,34,24.7,780.2
2656-FMOKZ,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,3,1,15,74.45,1145.7
2070-FNEXE,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,7,76.45,503.6
5947-SGKCL,0,0,1,1,1,1,1,0,1,1,0,1,2,0,1,0,0,15,105.35,1559.25
3712-PKXZA,1,0,1,0,1,0,2,0,0,0,0,0,1,1,1,1,0,61,20.55,1252.0
6317-YPKDH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,29.95,29.95
6582-OIVSP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,45.3,45.3
9367-WXLCH,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,8,84.5,662.65
5524-KHNJP,1,0,1,1,1,0,0,1,0,1,0,1,2,1,0,1,0,33,74.75,2453.3
1918-ZBFQJ,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,1,13,79.25,1111.65
1024-GUALD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,24.8,24.8
4827-USJHP,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,20,51.8,1023.85
8167-GJLRN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,30.4,82.15
0956-SYCWG,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,2,0,13,19.65,244.8
8017-UVSZU,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,40,56.6,2379.1
7100-FQPRV,1,0,1,1,1,1,0,1,0,0,1,0,2,1,1,1,0,43,71.9,3173.35
2472-OVKUP,1,0,1,0,1,0,1,0,1,1,0,0,2,0,1,2,1,6,91.0,531.0
2984-RGEYA,0,0,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,69,19.75,1375.4
9680-NIAUV,0,0,1,1,1,1,1,1,1,1,0,1,2,2,0,1,0,72,109.7,8129.3
2146-EGVDT,1,0,1,1,1,0,2,0,0,0,0,0,1,2,0,1,0,59,19.3,1192.7
2604-IJPDU,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,2,0,20,96.55,1901.65
9178-JHUVJ,1,0,1,1,1,1,2,0,0,0,0,0,1,2,1,0,0,24,24.1,587.4
6168-YBYNP,1,0,0,0,1,1,1,0,1,1,1,1,2,0,1,2,0,59,111.35,6519.75
7255-SSFBC,1,0,1,1,1,1,1,0,1,1,1,1,2,2,1,0,0,72,112.25,8041.65
3645-DEYGF,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,3,0,1,20.75,20.75
9323-HGFWY,0,0,1,0,1,0,1,1,0,0,1,1,2,1,1,1,0,27,101.9,2681.15
8544-GOQSH,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,14,80.05,1112.3
3363-DTIVD,1,0,1,1,1,1,1,1,0,1,0,1,2,2,0,2,0,71,105.55,7405.5
7018-WBJNK,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,13,78.3,1033.95
9142-KZXOP,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,44,68.85,2958.95
7674-YTAFD,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,33,79.95,2684.85
6348-SNFUS,1,0,1,1,0,0,0,1,1,1,1,0,2,2,1,1,0,72,55.45,4179.2
1285-OKIPP,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1,1,79.9,79.9
7825-ECJRF,0,0,0,0,1,0,1,1,0,1,1,1,2,0,1,2,1,19,106.6,1934.45
1347-KTTTA,1,0,1,0,1,0,1,0,1,1,1,1,2,1,1,1,0,64,102.45,6654.1
7841-TZDMQ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,46.0,84.5
4195-NZGTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,25.25,25.25
7157-SMCFK,1,0,0,1,1,0,2,0,0,0,0,0,1,2,0,3,0,61,19.75,1124.2
4709-LKHYG,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,2,0,29,20.0,540.05
2504-DSHIH,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,2,0,23,86.8,1975.85
0699-NDKJM,0,0,1,0,0,0,0,1,1,1,0,1,2,0,1,0,0,57,58.75,3437.45
9286-BHDQG,1,0,1,1,0,0,0,1,1,1,1,0,0,2,0,1,0,72,45.25,3139.8
0230-WEQUW,1,0,1,0,0,0,0,1,1,1,1,1,0,2,1,0,0,66,56.6,3789.2
2040-LDIWQ,1,0,1,1,1,1,0,0,1,1,1,1,2,2,1,0,0,65,84.2,5324.5
6496-JDSSB,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,8,80.0,624.6
9408-SSNVZ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,4,70.15,268.35
4443-EMBNA,0,0,1,0,1,1,2,0,0,0,0,0,1,2,0,0,0,71,24.75,1836.9
6469-MRVET,1,0,1,1,1,0,2,0,0,0,0,0,1,1,1,2,0,1,20.2,20.2
0742-MOABM,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1,4,50.05,179.35
5961-VUSRV,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,12,19.35,219.35
6778-JFCMK,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,3,0,24,50.6,1288.75
6341-JVQGF,0,0,1,1,1,0,0,1,0,1,1,1,2,1,1,3,0,31,81.15,2545.75
2232-DMLXU,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,55.2,55.2
4811-JBUVU,1,0,0,0,1,1,1,0,0,0,1,0,2,0,1,1,0,30,89.9,2723.15
0945-TSONX,0,0,1,1,1,1,0,1,1,0,1,1,2,2,1,1,0,47,85.3,4107.25
2651-ZCBXV,1,0,0,0,1,1,1,1,1,0,1,1,2,2,1,1,0,54,108.0,5760.65
3316-UWXUY,1,0,0,0,1,0,1,1,1,0,1,0,2,0,1,1,0,50,93.5,4747.5
8937-RDTHP,1,0,0,0,1,0,1,1,0,0,0,0,2,0,1,3,1,1,84.6,84.6
7083-MIOPC,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,1,0,72,20.25,1566.9
1984-GPTEH,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,2,0,29,25.15,702.0
1251-KRREG,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,1,2,54.4,114.1
0621-JFHOL,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,10,29.6,299.05
9903-LYSAB,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,0,18,73.15,1305.95
0094-OIFMO,0,1,0,0,1,0,1,0,1,0,0,1,2,0,1,2,1,11,95.0,1120.3
9227-UAQFT,1,0,0,0,1,0,2,0,0,0,0,0,1,2,0,3,0,16,19.75,284.35
7301-ABVAD,0,0,0,0,1,1,0,0,1,1,1,1,2,2,0,0,0,72,86.6,6350.5
6614-FHDBO,1,0,0,0,1,1,1,0,1,1,1,1,2,2,0,0,0,72,109.2,7878.3
7576-ASEJU,0,0,1,1,1,0,0,1,0,0,1,1,2,1,1,1,0,41,74.7,3187.65
9058-HRZSV,0,1,1,0,1,0,1,1,1,1,0,0,2,0,0,2,0,65,94.4,6126.15
4522-AKYLR,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,0,13,54.8,731.3
0221-WMXNQ,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,4,75.35,273.4
0303-UNCIP,1,0,0,0,1,1,0,0,0,1,0,0,2,1,0,3,0,41,65.0,2531.8
9947-OTFQU,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,1,15,74.4,1074.3
0322-YINQP,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,1,48.55,48.55
0959-WHOKV,1,0,0,0,1,1,1,1,1,1,0,0,2,1,1,2,0,42,99.0,4298.45
4075-JFPGR,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,2,0,51,93.5,4619.55
4629-NRXKX,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,2,70.4,147.15
9514-JDSKI,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,40.2,40.2
3282-ZISZV,1,0,0,1,1,1,0,0,1,1,1,1,2,1,0,1,0,32,83.7,2633.3
3675-YDUPJ,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,3,0,10,19.85,193.05
